SMILES,T1,T2,T3,T4,T5,K1,K2,K3,K4,K5,Intercept,Coefficients
C[Si](C)(C)O[Si](C)(C)C,519,440.4825,361.965,283.4475,204.93,0.0741436,0.084005398,0.093867196,0.103728994,0.113590792,-2.959224677,202.7540237
C[Si](C)(C)N[Si](C)(C)C,399.15,372.65,346.15,319.65,293.15,0.072225513,0.078009138,0.083792763,0.089576388,0.095360013,-3.480209757,343.5502582
CC(S)(C)CC(C)(C)C,428.65,371.2375,313.825,256.4125,199,0.093104083,0.104734707,0.116365331,0.127995956,0.13962658,-2.808965508,198.0279121
CC(C)=CC(C)(C)C,378.06,325.255,272.45,219.645,166.84,0.08947613,0.100802803,0.112129475,0.123456148,0.13478282,-2.819129143,164.1115777
C=C(C)CC(C)(C)C,374.59,325.8675,277.145,228.4225,179.7,0.089126347,0.099684513,0.110242679,0.120800844,0.13135901,-2.85715889,173.8880388
CCc1c(C)cc(C)c(C)c1,549.84,477.4175,404.995,332.5725,260.15,0.074721335,0.088225959,0.101730582,0.115235206,0.12873983,-3.1995896,354.6901454
c1(C)c(C)c(CC)c(C)cc1,557.84,483.4175,408.995,334.5725,260.15,0.075392042,0.08918923,0.102986417,0.116783604,0.130580792,-3.181938538,355.5744914
c1(C)c(C)c(C)c(CC)cc1,562.16,486.6575,411.155,335.6525,260.15,0.075999914,0.089998833,0.103997751,0.11799667,0.131995589,-3.1692923,356.047176
C=C(C)C(C)(C)C,351.04,304.105,257.17,210.235,163.3,0.095268512,0.106166819,0.117065126,0.127963433,0.13886174,-2.756307379,150.8850483
n1c(C)cc(C)cc1(C),473.15,412.1025,351.055,290.0075,228.96,0.107259161,0.120876416,0.134493672,0.148110927,0.161728182,-2.705213532,236.1697095
COP(=O)(OC)OC,470.35,409.5125,348.675,287.8375,227,0.093544689,0.103454509,0.113364329,0.12327415,0.13318397,-2.773081517,200.1701468
COB(OC)OC,341.75,316.1,290.45,264.8,239.15,0.110208923,0.118860134,0.12717791,0.135162251,0.142813157,-2.891470398,237.9772491
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,626.9,535.4625,444.025,352.5875,261.15,0.091808304,0.108252424,0.124696544,0.141140664,0.157584784,-2.878897921,334.9760916
C=C[Si](OC)(OC)OC,442.96,376.2575,309.555,242.8525,176.15,0.103601042,0.125066574,0.146532105,0.167997637,0.189463169,-2.779582042,250.1654588
[Si](OC)(OC)(OC)CCCS,487.15,415.3625,343.575,271.7875,200,0.124046096,0.144219026,0.164829021,0.185876078,0.2073602,-2.542520263,240.8131106
CC(C)C[Al](CC(C)C)CC(C)C,503,446.6125,390.225,333.8375,277.45,0.066550142,0.075836954,0.084577087,0.092770541,0.100417315,-3.323260999,322.5629589
CCCCCCCOC(=O)c1cc(C(=O)OCCCCCCC)ccc1(C(=O)OCCCCCCC),699.8,609.575,519.35,429.125,338.9,0.064483994,0.079368412,0.094252831,0.109137249,0.124021667,-3.501473487,567.0746809
FC(CC[Si](Cl)(Cl)C)(F)F,449.36,388.195,327.03,265.865,204.7,0.073516899,0.08717382,0.100830742,0.114487663,0.128144584,-3.191194338,279.9426796
FC(F)(F)C(=O)O,344.95,323.1875,301.425,279.6625,257.9,0.141552526,0.151095818,0.160639109,0.170182401,0.179725692,-2.733667326,270.8473396
P(OCC)(OCC)OCC,428.65,358.9875,289.325,219.6625,150,0.086937323,0.098177367,0.109417411,0.120657456,0.1318975,-2.738590573,141.950986
CC[Ga](CC)CC,415.15,359.075,303,246.925,190.85,0.101483834,0.117384456,0.132283823,0.146181937,0.159078796,-2.76910436,215.2890358
NCCNCCNCCN,545.15,480.15,415.15,350.15,285.15,0.1293128,0.1454328,0.1615528,0.1776728,0.1937928,-2.58090493,304.8797617
OCCOCCOCCOC,507,437.5375,368.075,298.6125,229.15,0.11098871,0.130401395,0.14981408,0.169226765,0.18863945,-2.745492625,297.5357956
CCOCCOCCOCCO,529.15,460.475,391.8,323.125,254.45,0.104864925,0.123441513,0.1420181,0.160594688,0.179171275,-2.867929327,344.4345259
CCCCOCCOCCOCCO,551.15,469.8,388.45,307.1,225.75,0.098262572,0.118170544,0.138078516,0.157986488,0.17789446,-2.846315554,317.6269999
c1(CC)cc(CC)cc(CC)c1,489.05,418.4725,347.895,277.3175,206.74,0.083333263,0.096019568,0.108705874,0.121392179,0.134078485,-2.9260821,233.4786202
c1(CC)c(CC)cc(CC)cc1,491.15,417.15,343.15,269.15,195.15,0.084940124,0.098194264,0.111448404,0.124702544,0.137956684,-2.876349098,220.808017
c1(CC)c(CC)c(CC)ccc1,490.7,421.775,352.85,283.925,215,0.08636585,0.099082513,0.111799175,0.124515838,0.1372325,-2.902974448,239.3468382
CCOP(=O)(OCC)OCC,488.15,420.275,352.4,284.525,216.65,0.084136867,0.09362715,0.103117432,0.112607715,0.122097997,-2.846545376,193.5671743
CC[Al](CC)CC,467.15,405.525,343.9,282.275,220.65,0.1066456,0.1199566,0.1332676,0.1465786,0.1598896,-2.685515112,221.3612475
CCOC(OCC)OCC,419.15,363.625,308.1,252.575,197.05,0.082593439,0.094105993,0.105618546,0.1171311,0.128643653,-2.98011982,216.431749
[Si](OCC)(OCC)(OCC)CCCS,498.8,426.6,354.4,282.2,210,0.110268021,0.130137571,0.15002434,0.16992833,0.18984954,-2.706419159,271.8205906
c1ccccc1(CCCCCCCCCCCCC),614.43,531.61,448.79,365.97,283.15,0.076635419,0.090252684,0.103869948,0.117487213,0.131104477,-3.140542034,375.7448647
CCCCCCCCCCCCC=O,540.15,486.0575,431.965,377.8725,323.78,0.097661657,0.109757822,0.121853987,0.133950152,0.146046316,-3.031581625,391.8084346
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,377.4,328.0875,278.775,229.4625,180.15,0.044016982,0.051861121,0.059705261,0.0675494,0.07539354,-3.731204367,244.0275064
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,683.15,573.775,464.4,355.025,245.65,0.090631668,0.102365418,0.114099168,0.125832918,0.137566668,-2.708168708,233.4727089
ClC(Cl)(F)C(F)(F)Cl,460,404.23,348.46,292.69,236.92,0.0397258,0.051564098,0.063402396,0.075240694,0.087078992,-4.248731887,499.2567971
ClC(Cl)(Cl)C(F)(F)F,386.46,361.725,336.99,312.255,287.52,0.05723409,0.062542963,0.067851836,0.073160709,0.078469582,-3.877926072,396.9484704
C(Cl)C(Cl)C(Cl),515.6,451.3125,387.025,322.7375,258.45,0.0693064,0.080942437,0.092578475,0.104214513,0.11585055,-3.301036439,343.5720338
C(Cl)=C(Cl)Cl,360.1,317.175,274.25,231.325,188.4,0.0970109,0.109502075,0.12199325,0.134484425,0.1469756,-2.883264523,207.0798867
