smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Intercept (A),Coefficient (B)
CCCCCCCCCC[C@H](CCCCCCCCCCC)CCCC,273.15,298.15,310.928,333.15,372.039,4.8238278519472395,3.264102915221663,2.4938154636113823,1.9153851377604343,1.3781874975744408,-3.240221878599894,1309.1212555600616
CCCCCCCC[C@@H](CCCCCCCCCCCCC)CCCC,273.15,298.15,310.928,333.15,372.039,4.619584363429087,3.2973680787159796,2.5186176373313494,1.932790556180736,1.3858807539132318,-3.1055029070458287,1266.2708816312827
CCCCCC[C@@H](CCCCCCCCCCCCCCC)CCCC,273.15,298.15,310.928,333.15,372.039,5.0183516186744646,3.3733348108969103,2.568180393547161,1.9655622597597693,1.4083554565664231,-3.269187811673113,1327.598871752739
CCCCCCCCCCC(CCCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.247949751659383,4.103285542152393,3.0676224570798034,2.307867910156535,1.6067544327192564,-3.3814255616041042,1418.4409051135228
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.642906422677839,3.941738726771025,2.948649614653619,2.2286671362190535,1.5614333340123017,-3.216403411428894,1351.2191742396533
c1cccc(c1)C(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.032816633548279,4.1396687419979115,3.030007284769772,2.242373780219495,1.5516714330360828,-3.443157602150816,1431.407532453154
c1ccc(cc1)C(c1ccccc1)CCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,7.2486466071203015,4.844462699672762,3.406099222308932,2.4524241962409006,1.6594812149429945,-3.725528668159626,1558.6877439253979
[C@H]1(CCC[C@@H]1CCCCCCCCCCCCCCCC)C1CCCC1,273.15,298.15,310.928,333.15,372.039,5.7297625250940385,4.032762725162903,3.037170247459597,2.307867910156535,1.6299522444408727,-3.0949082759155044,1322.2050971452986
C1CCC(CC1)CCC(CCCCCCCC)CCC1CCCCC1,273.15,298.15,310.928,333.15,372.039,11.757478984626891,6.438978677717158,4.288385150938089,2.9079339400199955,1.8357534986951651,-4.688438283061065,1940.85711780601
C(CCCCCCCCCCCCC)(CC(CC)CC)CC(CC)CC,273.15,298.15,310.928,333.15,372.039,5.565504172593539,3.5674162937601106,2.6515807680721926,1.994106499370761,1.4055716872131854,-3.573766229718835,1436.0559362317624
CCCCCCCCC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,4.431294255197338,3.02693068160106,2.3339746185362724,1.8059099768130153,1.3093265803250387,-3.193482057913401,1273.2960978976412
CCCCCCCC=C(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,4.024276549099067,2.793651741056546,2.1884394087725596,1.7251381193490711,1.268767685636572,-3.0337263907914833,1203.140218514609
CCCCCCCCCCC(CCCCCCCCCC)CCCCC,273.15,298.15,310.928,333.15,372.039,4.781078096399271,3.2285037978164772,2.462252830748466,1.897394135133867,1.3658184705360836,-3.2485389143044348,1308.5262781620484
CCCCCCC(CCCCCCCCCCCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,4.6319012241555635,3.3092736447139224,2.5261653832762603,1.9346302057328348,1.3915437930940404,-3.101343152157082,1265.8619555163887
CCCCCCCCCCC(CCCCCCCCCC)C(CC)CC,273.15,298.15,310.928,333.15,372.039,4.920979466914071,3.290934133819498,2.5026444119815205,1.9161299927150766,1.3744633100534744,-3.3072128609182654,1332.0032622163983
c1ccccc1CC(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.848961304261788,3.7963931325945786,2.826438170604937,2.127525543463656,1.497770941218786,-3.4711614944440843,1422.9297384584354
CCCCC(CCCCCCCCC(CCCC)CCCC)CCCC,273.15,298.15,310.928,333.15,372.039,5.278086848871892,3.650656120954202,2.679916447612024,1.9976372411723249,1.3915437930940404,-3.4821839552255596,1405.560997752983
C1CCCC(C1)C(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,7.035701026402709,4.3891836276302865,3.1885529501387393,2.3382888794918104,1.597352115315766,-3.7491831159421656,1548.5089314572795
C1[C@H]2[C@@H]([C@@H](CC1)C(CCCCCCCCCC)CCCCCCCCCC)CCCC2,273.15,298.15,310.928,333.15,372.039,13.545559066150577,7.43698884843561,4.9138889268369725,3.290934133819498,2.046238733238537,-4.675642156845664,1977.9230751658524
CCCCCCCCC(CCCCCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,4.954985966556549,3.511332962288351,2.6642228733195137,2.0273262006797634,1.4465998292680822,-3.1438997531538315,1295.9039548661701
